Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
JINDALSAW,30,146.72,68.36
JINDALSAW,180,149.72,62.17
JINDALSAW,365,155.3,61.77
JINDALSTEL,30,444.74,0.0
JINDALSTEL,180,442.18,0.0
JINDALSTEL,365,435.84,0.0
JIOFIN,30,283.82,34.29
JIOFIN,180,284.86,22.87
JIOFIN,365,286.39,2.77
JKCEMENT,30,3240.59,57.41
JKCEMENT,180,3213.83,54.87
JKCEMENT,365,3204.97,57.66
JKLAKSHMI,30,858.54,65.27
JKLAKSHMI,180,842.3,51.02
JKLAKSHMI,365,908.93,59.78
JKTYRE,30,161.69,0.0
JKTYRE,180,157.1,1.38
JKTYRE,365,157.89,0.0
JMFINANCIL,30,107.41,61.01
JMFINANCIL,180,106.67,51.43
JMFINANCIL,365,108.97,53.08
JPPOWER,30,9.81,69.82
JPPOWER,180,10.66,66.55
JPPOWER,365,12.23,74.05
JSL,30,426.84,54.59
JSL,180,430.88,51.34
JSL,365,433.91,49.4
JSWENERGY,30,377.28,67.2
JSWENERGY,180,362.31,70.06
JSWENERGY,365,360.22,73.77
JSWINFRA,30,316.35,51.79
JSWINFRA,180,341.45,50.23
JSWINFRA,365,376.23,61.48
JSWSTEEL,30,854.0,58.16
JSWSTEEL,180,840.93,47.75
JSWSTEEL,365,808.17,41.13
JUBLFOOD,30,2358.0,54.2
JUBLFOOD,180,2476.48,56.85
JUBLFOOD,365,2451.37,43.99
JUBLINGREA,30,537.64,0.0
JUBLINGREA,180,540.28,0.0
JUBLINGREA,365,533.26,0.0
JUBLPHARMA,30,885.38,65.99
JUBLPHARMA,180,860.85,45.8
JUBLPHARMA,365,925.29,64.88
JUSTDIAL,30,945.14,59.47
JUSTDIAL,180,1007.12,69.47
JUSTDIAL,365,1029.61,67.62
JWL,30,467.2,47.5
JWL,180,457.49,48.37
JWL,365,474.58,51.85
JYOTHYLAB,30,319.84,47.27
JYOTHYLAB,180,319.05,44.92
JYOTHYLAB,365,331.04,57.41
JYOTICNC,30,1402.27,70.84
JYOTICNC,180,1521.13,62.1
JYOTICNC,365,1688.83,57.69
KAJARIACER,30,1458.8,60.12
KAJARIACER,180,1571.4,63.17
KAJARIACER,365,1575.05,58.8
KALYANKJIL,30,533.17,63.11
KALYANKJIL,180,585.92,60.99
KALYANKJIL,365,645.33,59.12
