Date,Sales,Ticker
2023-02-10,681.34,INOXWIND
2023-03-31,681.34,INOXWIND
2023-05-26,734.69,INOXWIND
2023-07-29,872.8,INOXWIND
2023-09-08,872.8,INOXWIND
2023-10-27,1136.33,INOXWIND
2024-02-09,1413.57,INOXWIND
2024-03-31,1413.57,INOXWIND
2024-05-03,1750.55,INOXWIND
2024-08-09,2040.63,INOXWIND
2024-09-09,2040.63,INOXWIND
2024-10-25,2402.23,INOXWIND
2025-01-31,2810.05,INOXWIND
2015-03-31,608.75,INTELLECT
2015-06-30,658.06,INTELLECT
2015-09-30,721.56,INTELLECT
2015-12-31,755.27,INTELLECT
2016-03-31,810.66,INTELLECT
2016-06-30,823.53,INTELLECT
2016-07-15,823.53,INTELLECT
2016-09-30,847.16,INTELLECT
2016-12-31,879.87,INTELLECT
2017-03-31,913.57,INTELLECT
2017-07-28,913.58,INTELLECT
2017-08-11,948.94,INTELLECT
2017-11-09,986.45,INTELLECT
2018-01-30,1030.66,INTELLECT
2018-03-31,1030.66,INTELLECT
2018-05-06,1087.28,INTELLECT
2018-07-25,1144.96,INTELLECT
2018-07-31,1144.96,INTELLECT
2018-10-25,1256.86,INTELLECT
2019-01-28,1360.91,INTELLECT
2019-03-31,1360.91,INTELLECT
2019-05-02,1449.56,INTELLECT
2019-07-24,1493.5,INTELLECT
2019-08-05,1493.5,INTELLECT
2019-11-04,1439.71,INTELLECT
2020-02-14,1384.48,INTELLECT
2020-03-31,1384.48,INTELLECT
2020-06-15,1346.89,INTELLECT
2020-07-31,1346.88,INTELLECT
2020-08-05,1349.99,INTELLECT
2020-10-30,1395.22,INTELLECT
2021-02-02,1457.92,INTELLECT
2021-03-31,1457.92,INTELLECT
2021-05-10,1497.46,INTELLECT
2021-07-12,1497.46,INTELLECT
2021-07-28,1559.92,INTELLECT
2021-10-28,1640.25,INTELLECT
2022-01-27,1766.35,INTELLECT
2022-03-31,1766.35,INTELLECT
2022-05-05,1878.19,INTELLECT
2022-07-07,1878.19,INTELLECT
2022-07-28,2011.14,INTELLECT
2022-10-28,2086.54,INTELLECT
2023-02-03,2125.17,INTELLECT
2023-03-31,2125.17,INTELLECT
2023-05-11,2231.26,INTELLECT
2023-07-07,2231.25,INTELLECT
2023-07-27,2329.34,INTELLECT
2023-10-27,2420.85,INTELLECT
2024-01-25,2508.28,INTELLECT
2024-03-31,2508.28,INTELLECT
2024-05-09,2506.45,INTELLECT
2024-06-06,2506.44,INTELLECT
2024-07-26,2473.41,INTELLECT
2024-10-25,2412.49,INTELLECT
2025-01-24,2387.77,INTELLECT
2022-06-24,16735.84,IOB
2022-08-08,16735.84,IOB
2022-11-05,17570.24,IOB
2023-02-09,18428.22,IOB
2023-03-31,18428.22,IOB
2023-05-12,19406.96,IOB
2023-06-16,19406.97,IOB
2023-08-02,20398.29,IOB
2023-10-27,21504.15,IOB
2024-01-24,22626.91,IOB
2024-03-31,22626.91,IOB
2024-05-09,24065.69,IOB
2024-06-08,24065.67,IOB
2024-07-22,25177.25,IOB
2024-10-17,26206.29,IOB
2025-01-20,27142.33,IOB
2006-09-09,162418.33,IOC
2007-03-31,162418.33,IOC
2007-09-06,201493.84,IOC
2008-03-31,201493.84,IOC
2008-09-04,229848.27,IOC
2009-03-31,229848.27,IOC
2009-08-19,288670.08,IOC
2010-03-31,285258.9,IOC
2010-08-21,250046.25,IOC
2011-03-31,249192.69,IOC
2011-09-07,309797.02,IOC
2012-03-31,309626.99,IOC
2012-08-17,408923.0,IOC
2013-03-31,408299.95,IOC
2013-08-05,461779.51,IOC
2014-03-31,460653.93,IOC
2014-08-06,488344.93,IOC
2015-03-31,488145.36,IOC
2015-08-21,449506.76,IOC
2016-03-31,455889.73,IOC
2016-08-19,346044.74,IOC
2017-03-31,346044.74,IOC
2017-06-30,346044.74,IOC
2017-08-03,355379.0,IOC
2017-09-30,355379.0,IOC
2017-12-31,355379.0,IOC
2018-03-31,355379.0,IOC
2018-05-22,421491.82,IOC
2018-08-03,421491.82,IOC
2018-08-11,445213.61,IOC
2018-11-02,488071.92,IOC
2019-01-30,519037.09,IOC
2019-03-31,519037.09,IOC
2019-05-17,528157.5,IOC
2019-07-30,528157.5,IOC
2019-07-31,530748.6,IOC
2019-10-31,509520.22,IOC
2020-01-30,492433.24,IOC
2020-03-31,492433.24,IOC
2020-06-24,484363.76,IOC
2020-07-31,413596.64,IOC
2020-08-31,413596.64,IOC
2020-10-30,384176.82,IOC
2021-01-29,362082.59,IOC
2021-03-31,362082.59,IOC
2021-05-19,363949.67,IOC
2021-07-30,418921.07,IOC
2021-08-03,418921.07,IOC
2021-10-30,470407.09,IOC
2022-01-31,533907.3,IOC
2022-03-31,533907.3,IOC
2022-05-17,589324.92,IOC
2022-07-29,697233.39,IOC
2022-08-02,697233.39,IOC
2022-10-29,772795.83,IOC
2023-01-31,813175.66,IOC
2023-03-31,813175.66,IOC
2023-05-16,841755.91,IOC
2023-07-28,816895.7,IOC
2023-08-02,816895.7,IOC
2023-10-31,787384.03,IOC
2024-01-24,781574.36,IOC
2024-03-31,781574.36,IOC
2024-04-30,776351.85,IOC
2024-07-22,776351.85,IOC
2024-07-30,771645.99,IOC
2024-10-28,767376.44,IOC
2025-01-27,761485.28,IOC
2006-07-04,753.64,IPCALAB
2007-03-31,751.9,IPCALAB
2007-07-10,938.36,IPCALAB
2008-03-31,938.51,IPCALAB
2008-07-05,1054.74,IPCALAB
2009-03-31,1053.11,IPCALAB
2009-07-18,1286.46,IPCALAB
2010-03-31,1279.67,IPCALAB
2010-07-05,1566.76,IPCALAB
2011-03-31,1599.65,IPCALAB
2011-06-30,1899.8,IPCALAB
2012-03-31,1899.8,IPCALAB
2012-06-30,2358.73,IPCALAB
2013-03-31,2358.73,IPCALAB
2013-07-05,2813.12,IPCALAB
2014-03-31,2813.12,IPCALAB
2014-07-08,3281.77,IPCALAB
2015-03-31,3281.77,IPCALAB
2015-07-07,3144.4,IPCALAB
2016-03-31,3144.4,IPCALAB
2016-07-13,2867.11,IPCALAB
2017-03-31,2867.11,IPCALAB
2017-07-01,3156.19,IPCALAB
2018-03-31,3156.19,IPCALAB
2018-07-09,3257.76,IPCALAB
2018-08-09,3257.76,IPCALAB
2018-11-14,3257.76,IPCALAB
2019-03-31,3257.76,IPCALAB
2019-05-29,3257.76,IPCALAB
2019-07-13,3745.69,IPCALAB
2019-08-13,3745.69,IPCALAB
2019-11-07,3745.69,IPCALAB
2020-02-12,4454.56,IPCALAB
2020-03-31,4454.56,IPCALAB
2020-06-16,4648.71,IPCALAB
2020-08-10,5104.92,IPCALAB
2020-08-14,5104.92,IPCALAB
2020-11-07,5182.12,IPCALAB
