Date,OPM,Ticker
2024-09-30,93.56,TATAINVEST
2024-12-31,-18.6,TATAINVEST
2005-03-31,11.65,TATAMOTORS
2005-06-30,12.26,TATAMOTORS
2005-09-30,12.4,TATAMOTORS
2005-12-31,12.81,TATAMOTORS
2006-03-31,12.53,TATAMOTORS
2006-06-30,11.34,TATAMOTORS
2006-09-30,11.58,TATAMOTORS
2006-12-31,13.08,TATAMOTORS
2007-03-31,12.53,TATAMOTORS
2007-06-30,11.03,TATAMOTORS
2007-09-30,12.59,TATAMOTORS
2007-12-31,13.65,TATAMOTORS
2008-03-31,9.93,TATAMOTORS
2008-06-30,11.62,TATAMOTORS
2008-09-30,6.08,TATAMOTORS
2008-12-31,-3.73,TATAMOTORS
2009-03-31,10.81,TATAMOTORS
2009-06-30,3.05,TATAMOTORS
2009-09-30,7.14,TATAMOTORS
2009-12-31,11.44,TATAMOTORS
2010-03-31,10.2,TATAMOTORS
2010-06-30,14.25,TATAMOTORS
2010-09-30,14.03,TATAMOTORS
2010-12-31,14.28,TATAMOTORS
2011-03-31,12.67,TATAMOTORS
2011-06-30,12.72,TATAMOTORS
2011-09-30,12.44,TATAMOTORS
2011-12-31,15.08,TATAMOTORS
2012-03-31,13.25,TATAMOTORS
2012-06-30,13.28,TATAMOTORS
2012-09-30,12.29,TATAMOTORS
2012-12-31,12.27,TATAMOTORS
2013-03-31,13.95,TATAMOTORS
2013-06-30,13.32,TATAMOTORS
2013-09-30,15.2,TATAMOTORS
2013-12-31,15.6,TATAMOTORS
2014-03-31,15.31,TATAMOTORS
2014-06-30,17.23,TATAMOTORS
2014-09-30,15.78,TATAMOTORS
2014-12-31,14.36,TATAMOTORS
2015-03-31,12.45,TATAMOTORS
2015-06-30,18.22,TATAMOTORS
2015-09-30,10.6,TATAMOTORS
2015-12-31,12.54,TATAMOTORS
2016-03-31,13.64,TATAMOTORS
2016-06-30,11.72,TATAMOTORS
2016-09-30,9.93,TATAMOTORS
2016-12-31,7.53,TATAMOTORS
2017-03-31,14.05,TATAMOTORS
2017-06-30,9.57,TATAMOTORS
2017-09-30,12.35,TATAMOTORS
2017-12-31,10.74,TATAMOTORS
2018-03-31,11.01,TATAMOTORS
2018-06-30,6.06,TATAMOTORS
2018-09-30,8.51,TATAMOTORS
2018-12-31,7.97,TATAMOTORS
2019-03-31,9.78,TATAMOTORS
2019-06-30,4.65,TATAMOTORS
2019-09-30,10.77,TATAMOTORS
2019-12-31,10.32,TATAMOTORS
2020-03-31,1.11,TATAMOTORS
2020-06-30,2.13,TATAMOTORS
2020-09-30,11.39,TATAMOTORS
2020-12-31,16.04,TATAMOTORS
2021-03-31,15.09,TATAMOTORS
2021-06-30,7.89,TATAMOTORS
2021-09-30,6.71,TATAMOTORS
2021-12-31,9.8,TATAMOTORS
2022-03-31,10.56,TATAMOTORS
2022-06-30,3.35,TATAMOTORS
2022-09-30,7.0,TATAMOTORS
2022-12-31,12.23,TATAMOTORS
2023-03-31,12.38,TATAMOTORS
2023-06-30,12.93,TATAMOTORS
2023-09-30,13.1,TATAMOTORS
2023-12-31,13.94,TATAMOTORS
2024-03-31,14.28,TATAMOTORS
2024-06-30,14.61,TATAMOTORS
2024-09-30,11.99,TATAMOTORS
2024-12-31,11.48,TATAMOTORS
2005-03-31,16.02,TATAPOWER
2005-06-30,21.94,TATAPOWER
2005-09-30,22.78,TATAPOWER
2005-12-31,16.07,TATAPOWER
2006-03-31,13.51,TATAPOWER
2006-06-30,18.75,TATAPOWER
2006-09-30,20.78,TATAPOWER
2006-12-31,17.4,TATAPOWER
2007-03-31,0.53,TATAPOWER
2007-06-30,18.96,TATAPOWER
2007-09-30,19.35,TATAPOWER
2007-12-31,18.89,TATAPOWER
2008-03-31,9.31,TATAPOWER
2008-06-30,17.04,TATAPOWER
2008-09-30,18.68,TATAPOWER
2008-12-31,22.18,TATAPOWER
2009-03-31,14.23,TATAPOWER
2009-06-30,24.84,TATAPOWER
2009-09-30,19.98,TATAPOWER
2009-12-31,12.11,TATAPOWER
2010-03-31,20.87,TATAPOWER
2010-06-30,21.97,TATAPOWER
2010-09-30,23.65,TATAPOWER
2010-12-31,23.75,TATAPOWER
2011-03-31,24.36,TATAPOWER
2011-06-30,25.22,TATAPOWER
2011-09-30,22.04,TATAPOWER
2011-12-31,15.19,TATAPOWER
2012-03-31,17.89,TATAPOWER
2012-06-30,19.49,TATAPOWER
2012-09-30,19.2,TATAPOWER
2012-12-31,19.58,TATAPOWER
2013-03-31,15.36,TATAPOWER
2013-06-30,22.14,TATAPOWER
2013-09-30,23.17,TATAPOWER
2013-12-31,20.53,TATAPOWER
2014-03-31,20.46,TATAPOWER
2014-06-30,19.11,TATAPOWER
2014-09-30,19.71,TATAPOWER
2014-12-31,13.83,TATAPOWER
2015-03-31,20.61,TATAPOWER
2015-06-30,22.55,TATAPOWER
2015-09-30,19.73,TATAPOWER
2015-12-31,18.16,TATAPOWER
2016-03-31,18.79,TATAPOWER
2016-06-30,19.94,TATAPOWER
2016-09-30,20.06,TATAPOWER
2016-12-31,20.85,TATAPOWER
2017-03-31,17.43,TATAPOWER
2017-06-30,26.27,TATAPOWER
2017-09-30,22.45,TATAPOWER
2017-12-31,18.68,TATAPOWER
2018-03-31,16.82,TATAPOWER
2018-06-30,21.38,TATAPOWER
2018-09-30,18.24,TATAPOWER
2018-12-31,22.19,TATAPOWER
2019-03-31,18.3,TATAPOWER
2019-06-30,26.82,TATAPOWER
2019-09-30,24.77,TATAPOWER
2019-12-31,25.33,TATAPOWER
2020-03-31,18.25,TATAPOWER
2020-06-30,26.48,TATAPOWER
2020-09-30,23.72,TATAPOWER
2020-12-31,22.83,TATAPOWER
2021-03-31,13.76,TATAPOWER
2021-06-30,21.21,TATAPOWER
2021-09-30,13.55,TATAPOWER
2021-12-31,14.97,TATAPOWER
2022-03-31,15.62,TATAPOWER
2022-06-30,11.61,TATAPOWER
2022-09-30,12.55,TATAPOWER
2022-12-31,16.41,TATAPOWER
2023-03-31,15.48,TATAPOWER
2023-06-30,17.84,TATAPOWER
2023-09-30,17.61,TATAPOWER
2023-12-31,16.5,TATAPOWER
2024-03-31,14.56,TATAPOWER
2024-06-30,17.7,TATAPOWER
2024-09-30,20.84,TATAPOWER
2024-12-31,20.01,TATAPOWER
2005-03-31,32.25,TATASTEEL
2005-06-30,34.47,TATASTEEL
2005-09-30,34.69,TATASTEEL
2005-12-31,29.69,TATASTEEL
2006-03-31,26.11,TATASTEEL
2006-06-30,30.21,TATASTEEL
2006-09-30,30.71,TATASTEEL
2006-12-31,31.66,TATASTEEL
2007-03-31,26.34,TATASTEEL
2007-06-30,15.44,TATASTEEL
2007-09-30,14.19,TATASTEEL
2007-12-31,12.13,TATASTEEL
2008-03-31,12.69,TATASTEEL
2008-06-30,16.86,TATASTEEL
2008-09-30,18.62,TATASTEEL
2008-12-31,8.3,TATASTEEL
2009-03-31,2.03,TATASTEEL
2009-06-30,-0.13,TATASTEEL
2009-09-30,1.46,TATASTEEL
2009-12-31,11.26,TATASTEEL
2010-03-31,15.97,TATASTEEL
2010-06-30,16.3,TATASTEEL
2010-09-30,12.82,TATASTEEL
2010-12-31,11.77,TATASTEEL
2011-03-31,13.44,TATASTEEL
2011-06-30,13.51,TATASTEEL
2011-09-30,8.74,TATASTEEL
2011-12-31,5.78,TATASTEEL
2012-03-31,9.35,TATASTEEL
2012-06-30,10.06,TATASTEEL
2012-09-30,6.77,TATASTEEL
2012-12-31,6.97,TATASTEEL
2013-03-31,12.61,TATASTEEL
2013-06-30,11.24,TATASTEEL
2013-09-30,10.11,TATASTEEL
2013-12-31,10.91,TATASTEEL
2014-03-31,11.81,TATASTEEL
2014-06-30,11.73,TATASTEEL
2014-09-30,10.18,TATASTEEL
2014-12-31,9.15,TATASTEEL
2015-03-31,4.58,TATASTEEL
2015-06-30,8.7,TATASTEEL
2015-09-30,4.61,TATASTEEL
2015-12-31,0.99,TATASTEEL
2016-03-31,7.35,TATASTEEL
2016-06-30,-0.47,TATASTEEL
2016-09-30,11.81,TATASTEEL
2016-12-31,12.99,TATASTEEL
2017-03-31,19.42,TATASTEEL
2017-06-30,16.73,TATASTEEL
2017-09-30,14.54,TATASTEEL
2017-12-31,17.01,TATASTEEL
2018-03-31,18.99,TATASTEEL
2018-06-30,17.9,TATASTEEL
2018-09-30,21.52,TATASTEEL
2018-12-31,17.12,TATASTEEL
2019-03-31,17.57,TATASTEEL
2019-06-30,14.96,TATASTEEL
2019-09-30,8.9,TATASTEEL
2019-12-31,10.01,TATASTEEL
2020-03-31,13.33,TATASTEEL
2020-06-30,2.12,TATASTEEL
2020-09-30,15.95,TATASTEEL
2020-12-31,22.82,TATASTEEL
2021-03-31,28.35,TATASTEEL
2021-06-30,30.13,TATASTEEL
2021-09-30,27.25,TATASTEEL
2021-12-31,26.15,TATASTEEL
2022-03-31,21.68,TATASTEEL
2022-06-30,23.61,TATASTEEL
2022-09-30,10.12,TATASTEEL
