Date,GPM,Ticker
2010-03-31,58.03,ITC
2010-06-30,63.11,ITC
2010-09-30,64.04,ITC
2010-12-31,63.21,ITC
2011-03-31,58.5,ITC
2011-06-30,60.53,ITC
2011-09-30,61.75,ITC
2011-12-31,65.17,ITC
2012-03-31,59.65,ITC
2012-06-30,61.59,ITC
2012-09-30,60.36,ITC
2012-12-31,60.09,ITC
2013-03-31,57.04,ITC
2013-06-30,61.29,ITC
2013-09-30,62.12,ITC
2013-12-31,60.59,ITC
2014-03-31,58.11,ITC
2014-06-30,56.99,ITC
2014-09-30,60.6,ITC
2014-12-31,61.11,ITC
2015-03-31,60.6,ITC
2015-06-30,59.16,ITC
2015-09-30,64.62,ITC
2015-12-31,65.85,ITC
2016-03-31,63.44,ITC
2016-06-30,57.77,ITC
2016-09-30,62.0,ITC
2016-12-31,63.49,ITC
2017-03-31,57.91,ITC
2017-06-30,61.47,ITC
2017-09-30,57.76,ITC
2017-12-31,63.2,ITC
2018-03-31,62.21,ITC
2018-06-30,65.09,ITC
2018-09-30,65.26,ITC
2018-12-31,64.46,ITC
2019-03-31,65.43,ITC
2019-06-30,66.94,ITC
2019-09-30,65.51,ITC
2019-12-31,63.67,ITC
2020-03-31,65.75,ITC
2020-06-30,61.87,ITC
2020-09-30,60.58,ITC
2020-12-31,59.96,ITC
2021-03-31,57.21,ITC
2021-06-30,56.17,ITC
2021-09-30,60.22,ITC
2021-12-31,54.12,ITC
2022-03-31,56.17,ITC
2022-06-30,53.75,ITC
2022-09-30,60.32,ITC
2022-12-31,61.05,ITC
2023-03-31,61.61,ITC
2023-06-30,61.84,ITC
2023-09-30,60.23,ITC
2023-12-31,59.47,ITC
2024-03-31,63.25,ITC
2024-06-30,60.54,ITC
2024-09-30,54.65,ITC
2024-12-31,57.62,ITC
2005-03-31,-4.52,ITI
2005-06-30,20.0,ITI
2005-09-30,19.06,ITI
2005-12-31,17.39,ITI
2006-03-31,18.28,ITI
2006-06-30,8.18,ITI
2006-09-30,6.66,ITI
2006-12-31,13.97,ITI
2007-03-31,16.2,ITI
2007-06-30,14.99,ITI
2007-09-30,15.12,ITI
2007-12-31,24.09,ITI
2008-03-31,16.77,ITI
2008-06-30,16.67,ITI
2008-09-30,6.39,ITI
2008-12-31,14.9,ITI
2009-03-31,8.38,ITI
2009-06-30,6.5,ITI
2009-09-30,9.3,ITI
2009-12-31,6.54,ITI
2010-03-31,4.74,ITI
2010-06-30,6.27,ITI
2010-09-30,8.01,ITI
2010-12-31,10.77,ITI
2011-03-31,8.48,ITI
2011-06-30,27.12,ITI
2011-09-30,24.82,ITI
2011-12-31,24.47,ITI
2012-03-31,13.86,ITI
2012-06-30,19.87,ITI
2012-09-30,22.79,ITI
2012-12-31,21.88,ITI
2013-03-31,23.4,ITI
2013-06-30,13.9,ITI
2013-09-30,28.41,ITI
2013-12-31,27.68,ITI
2014-03-31,30.27,ITI
2014-06-30,37.23,ITI
2014-09-30,22.6,ITI
2014-12-31,26.34,ITI
2015-03-31,34.69,ITI
2015-06-30,14.03,ITI
2015-09-30,19.72,ITI
2015-12-31,18.74,ITI
2016-03-31,14.95,ITI
2016-06-30,15.43,ITI
2016-09-30,35.55,ITI
2016-12-31,25.19,ITI
2017-03-31,19.92,ITI
2017-06-30,28.99,ITI
2017-09-30,42.93,ITI
2017-12-31,31.22,ITI
2018-03-31,17.89,ITI
2018-06-30,18.32,ITI
2018-09-30,25.43,ITI
2018-12-31,8.57,ITI
2019-03-31,21.39,ITI
2019-06-30,24.72,ITI
2019-09-30,30.22,ITI
2019-12-31,16.26,ITI
2020-03-31,27.17,ITI
2020-06-30,18.14,ITI
2020-09-30,14.69,ITI
2020-12-31,14.58,ITI
2021-03-31,22.62,ITI
2021-06-30,12.62,ITI
2021-09-30,21.27,ITI
2021-12-31,24.5,ITI
2022-03-31,25.22,ITI
2022-06-30,9.95,ITI
2022-09-30,15.24,ITI
2022-12-31,20.1,ITI
2023-03-31,14.97,ITI
2023-06-30,16.91,ITI
2023-09-30,18.36,ITI
2023-12-31,20.84,ITI
2024-03-31,-7.63,ITI
2024-06-30,10.84,ITI
2024-09-30,6.32,ITI
2024-12-31,7.39,ITI
2005-03-31,100.0,J&KBANK
2005-06-30,100.0,J&KBANK
2005-09-30,100.0,J&KBANK
2005-12-31,100.0,J&KBANK
2006-03-31,100.0,J&KBANK
2006-06-30,100.0,J&KBANK
2006-09-30,100.0,J&KBANK
2006-12-31,100.0,J&KBANK
2007-03-31,100.0,J&KBANK
2007-06-30,100.0,J&KBANK
2007-09-30,100.0,J&KBANK
2007-12-31,100.0,J&KBANK
