Date,EBITDA,Ticker
2013-03-31,821.26,TATACONSUM
2013-05-28,854.5,TATACONSUM
2013-06-19,856.11,TATACONSUM
2013-08-01,880.55,TATACONSUM
2013-11-12,875.4,TATACONSUM
2014-01-29,866.15,TATACONSUM
2014-03-31,833.69,TATACONSUM
2014-06-30,827.52,TATACONSUM
2014-07-24,827.52,TATACONSUM
2014-09-30,855.26,TATACONSUM
2014-12-31,854.88,TATACONSUM
2015-03-31,844.84,TATACONSUM
2015-06-30,821.24,TATACONSUM
2015-07-24,821.24,TATACONSUM
2015-09-30,777.34,TATACONSUM
2015-12-31,746.77,TATACONSUM
2016-03-31,736.33,TATACONSUM
2016-06-30,800.17,TATACONSUM
2016-07-29,800.17,TATACONSUM
2016-09-30,846.86,TATACONSUM
2017-02-01,864.89,TATACONSUM
2017-03-31,864.89,TATACONSUM
2017-05-30,874.23,TATACONSUM
2017-07-21,869.41,TATACONSUM
2017-08-11,873.21,TATACONSUM
2017-09-30,873.21,TATACONSUM
2017-11-14,900.03,TATACONSUM
2018-02-02,957.37,TATACONSUM
2018-03-31,957.37,TATACONSUM
2018-05-11,933.06,TATACONSUM
2018-06-11,911.16,TATACONSUM
2018-08-01,951.84,TATACONSUM
2018-09-30,951.84,TATACONSUM
2018-10-30,941.78,TATACONSUM
2019-02-05,904.96,TATACONSUM
2019-03-31,904.96,TATACONSUM
2019-04-23,943.04,TATACONSUM
2019-05-15,909.68,TATACONSUM
2019-07-31,1049.71,TATACONSUM
2019-09-30,1049.71,TATACONSUM
2019-10-30,1155.09,TATACONSUM
2020-02-04,1282.95,TATACONSUM
2020-03-31,1282.95,TATACONSUM
2020-05-14,1403.74,TATACONSUM
2020-06-13,1378.24,TATACONSUM
2020-08-04,1535.14,TATACONSUM
2020-09-30,1535.14,TATACONSUM
2020-11-06,1618.12,TATACONSUM
2021-02-02,1652.27,TATACONSUM
2021-03-31,1652.27,TATACONSUM
2021-05-06,1665.14,TATACONSUM
2021-06-01,1652.14,TATACONSUM
2021-08-03,1577.28,TATACONSUM
2021-09-30,1577.28,TATACONSUM
2021-10-22,1604.4,TATACONSUM
2022-02-02,1710.28,TATACONSUM
2022-03-31,1710.28,TATACONSUM
2022-05-04,1858.84,TATACONSUM
2022-06-06,1849.9,TATACONSUM
2022-08-10,1923.98,TATACONSUM
2022-09-30,1923.98,TATACONSUM
2022-10-20,1934.21,TATACONSUM
2023-02-02,1950.1,TATACONSUM
2023-03-31,1950.1,TATACONSUM
2023-04-25,2025.35,TATACONSUM
2023-05-13,2001.15,TATACONSUM
2023-07-26,2135.49,TATACONSUM
2023-09-30,2135.49,TATACONSUM
2023-10-31,2299.26,TATACONSUM
2024-02-07,2428.64,TATACONSUM
2024-03-31,2428.64,TATACONSUM
2024-04-23,2529.72,TATACONSUM
2024-05-25,2487.9,TATACONSUM
2024-07-30,2633.49,TATACONSUM
2024-09-30,2633.49,TATACONSUM
2024-10-18,2678.83,TATACONSUM
2025-01-30,2663.19,TATACONSUM
2008-03-31,77.11,TATAELXSI
2008-06-30,73.18,TATAELXSI
2008-07-08,73.18,TATAELXSI
2008-09-30,80.76,TATAELXSI
2008-12-31,79.09,TATAELXSI
2009-03-31,81.66,TATAELXSI
2009-06-30,80.95,TATAELXSI
2009-08-17,80.95,TATAELXSI
2009-09-30,76.44,TATAELXSI
2009-12-31,78.03,TATAELXSI
2010-03-31,68.92,TATAELXSI
2010-06-30,69.82,TATAELXSI
2010-09-30,64.56,TATAELXSI
2010-12-31,54.52,TATAELXSI
2011-03-31,51.05,TATAELXSI
2011-06-29,51.53,TATAELXSI
2011-07-22,51.12,TATAELXSI
2011-10-28,60.56,TATAELXSI
2012-01-16,73.26,TATAELXSI
2012-03-31,73.26,TATAELXSI
2012-05-07,78.2,TATAELXSI
2012-07-05,79.25,TATAELXSI
2012-07-24,83.99,TATAELXSI
2012-10-18,80.51,TATAELXSI
2013-01-21,77.55,TATAELXSI
2013-03-31,77.55,TATAELXSI
2013-04-19,76.88,TATAELXSI
2013-07-23,78.57,TATAELXSI
2013-08-20,78.57,TATAELXSI
2013-10-28,98.96,TATAELXSI
2014-01-27,121.32,TATAELXSI
2014-03-31,148.99,TATAELXSI
2014-06-30,168.47,TATAELXSI
2014-07-01,168.47,TATAELXSI
2014-09-30,172.61,TATAELXSI
2014-12-31,180.98,TATAELXSI
2015-03-31,180.66,TATAELXSI
2015-07-10,181.36,TATAELXSI
2013-07-03,186.41,TATAINVEST
2014-03-31,186.42,TATAINVEST
2014-07-03,204.47,TATAINVEST
2015-03-31,204.47,TATAINVEST
2015-07-14,212.71,TATAINVEST
2016-03-31,212.71,TATAINVEST
2016-06-29,229.05,TATAINVEST
2017-03-31,229.07,TATAINVEST
2017-07-21,237.29,TATAINVEST
2018-03-31,237.25,TATAINVEST
2018-07-02,147.04,TATAINVEST
2018-08-23,147.04,TATAINVEST
2018-11-02,147.04,TATAINVEST
2019-02-04,147.04,TATAINVEST
2019-03-31,147.06,TATAINVEST
2019-05-10,147.02,TATAINVEST
2019-06-29,147.03,TATAINVEST
2019-08-08,148.08,TATAINVEST
2019-09-30,148.08,TATAINVEST
2019-11-08,125.7,TATAINVEST
2020-02-11,133.75,TATAINVEST
2020-03-31,133.75,TATAINVEST
2020-05-27,101.77,TATAINVEST
2020-06-24,101.8,TATAINVEST
2020-07-31,102.69,TATAINVEST
2020-09-30,102.69,TATAINVEST
2020-11-02,117.51,TATAINVEST
2021-02-02,125.54,TATAINVEST
2021-03-31,125.54,TATAINVEST
2021-04-27,168.95,TATAINVEST
2021-06-09,168.33,TATAINVEST
2021-08-09,204.49,TATAINVEST
2021-09-30,204.49,TATAINVEST
2021-11-09,204.85,TATAINVEST
2022-01-19,224.85,TATAINVEST
2022-03-31,224.85,TATAINVEST
2022-04-25,246.92,TATAINVEST
2022-06-04,246.92,TATAINVEST
2022-07-26,287.05,TATAINVEST
2022-09-30,287.05,TATAINVEST
2022-11-01,289.3,TATAINVEST
2023-01-17,280.91,TATAINVEST
2023-03-31,280.91,TATAINVEST
2023-05-05,281.48,TATAINVEST
2023-06-03,281.48,TATAINVEST
2023-08-04,341.12,TATAINVEST
2023-09-30,341.12,TATAINVEST
2023-11-08,356.55,TATAINVEST
2024-01-29,374.88,TATAINVEST
2024-03-31,374.88,TATAINVEST
2024-05-23,417.66,TATAINVEST
2024-06-14,417.67,TATAINVEST
2024-07-31,416.46,TATAINVEST
2024-09-30,416.46,TATAINVEST
2024-10-31,445.96,TATAINVEST
2025-02-11,410.72,TATAINVEST
2006-03-31,3261.4,TATAMOTORS
2006-06-23,3150.58,TATAMOTORS
2006-06-30,3487.71,TATAMOTORS
2006-09-30,3758.42,TATAMOTORS
2006-12-31,3959.71,TATAMOTORS
2007-03-31,4222.12,TATAMOTORS
2007-06-12,4220.24,TATAMOTORS
2007-06-30,4495.79,TATAMOTORS
2007-09-30,4646.36,TATAMOTORS
2007-12-31,4887.99,TATAMOTORS
2008-03-31,4674.65,TATAMOTORS
2008-06-27,4464.53,TATAMOTORS
2008-06-30,5541.51,TATAMOTORS
2008-09-30,5846.78,TATAMOTORS
2008-12-31,3794.94,TATAMOTORS
2009-03-31,2120.6,TATAMOTORS
2009-06-30,689.82,TATAMOTORS
2009-08-03,689.82,TATAMOTORS
2009-09-30,785.08,TATAMOTORS
2009-12-31,4434.12,TATAMOTORS
2010-03-31,9158.55,TATAMOTORS
2010-06-30,12529.38,TATAMOTORS
2010-08-02,12529.38,TATAMOTORS
2010-09-30,14989.24,TATAMOTORS
2010-12-31,16490.6,TATAMOTORS
2011-03-31,17002.62,TATAMOTORS
2011-07-18,17229.59,TATAMOTORS
2011-08-11,17528.63,TATAMOTORS
2011-09-30,17528.63,TATAMOTORS
2011-11-14,18182.25,TATAMOTORS
2012-02-14,20682.26,TATAMOTORS
2012-03-31,20682.26,TATAMOTORS
2012-05-29,22973.01,TATAMOTORS
2012-07-14,22877.2,TATAMOTORS
2012-08-09,24564.86,TATAMOTORS
2012-09-30,24564.86,TATAMOTORS
2012-11-07,25431.48,TATAMOTORS
2013-02-14,24282.91,TATAMOTORS
2013-03-31,24282.91,TATAMOTORS
2013-05-29,25371.91,TATAMOTORS
2013-07-23,25331.48,TATAMOTORS
2013-08-07,25794.98,TATAMOTORS
2013-09-30,25794.98,TATAMOTORS
2013-11-08,29133.59,TATAMOTORS
2014-02-10,33403.73,TATAMOTORS
2014-03-31,35666.85,TATAMOTORS
2014-06-30,40609.76,TATAMOTORS
2014-07-07,40609.76,TATAMOTORS
2014-09-30,41518.02,TATAMOTORS
2014-12-31,41709.1,TATAMOTORS
2015-03-31,40137.39,TATAMOTORS
2015-06-30,40008.84,TATAMOTORS
2015-07-17,40008.84,TATAMOTORS
2015-09-30,36997.19,TATAMOTORS
2015-12-31,35737.3,TATAMOTORS
2016-03-31,38107.36,TATAMOTORS
2016-06-30,34666.62,TATAMOTORS
2016-07-14,34666.62,TATAMOTORS
2016-09-30,34380.07,TATAMOTORS
2017-02-14,30316.24,TATAMOTORS
2017-03-31,30316.24,TATAMOTORS
2017-05-23,30343.23,TATAMOTORS
2017-08-01,30167.09,TATAMOTORS
2017-08-09,28303.26,TATAMOTORS
2017-09-30,28303.26,TATAMOTORS
2017-11-09,31012.74,TATAMOTORS
2018-02-05,34881.2,TATAMOTORS
2018-03-31,34881.2,TATAMOTORS
2018-05-23,35415.27,TATAMOTORS
2018-07-13,35286.01,TATAMOTORS
2018-07-31,34313.24,TATAMOTORS
2018-09-30,34313.24,TATAMOTORS
2018-10-31,31989.56,TATAMOTORS
2019-02-07,29931.03,TATAMOTORS
2019-03-31,29931.03,TATAMOTORS
2019-05-20,27629.64,TATAMOTORS
2019-07-10,27501.03,TATAMOTORS
2019-07-25,26675.4,TATAMOTORS
2019-09-30,26675.4,TATAMOTORS
2019-10-25,27517.56,TATAMOTORS
2020-01-30,29018.05,TATAMOTORS
2020-03-31,29018.05,TATAMOTORS
2020-06-15,20960.22,TATAMOTORS
2020-07-31,18555.52,TATAMOTORS
2020-08-04,18555.52,TATAMOTORS
2020-09-30,18555.52,TATAMOTORS
2020-10-27,17569.97,TATAMOTORS
2021-01-29,22120.82,TATAMOTORS
2021-03-31,22120.82,TATAMOTORS
2021-05-18,34930.62,TATAMOTORS
2021-06-29,34736.38,TATAMOTORS
2021-07-26,39465.66,TATAMOTORS
2021-09-30,39465.66,TATAMOTORS
2021-11-01,37717.66,TATAMOTORS
2022-01-31,32653.55,TATAMOTORS
2022-03-31,32653.55,TATAMOTORS
2022-05-12,27773.72,TATAMOTORS
2022-06-13,27557.1,TATAMOTORS
2022-07-27,25249.54,TATAMOTORS
2022-09-30,25249.54,TATAMOTORS
2022-11-09,26876.84,TATAMOTORS
2023-01-25,31046.87,TATAMOTORS
2023-03-31,31046.87,TATAMOTORS
2023-05-12,36644.11,TATAMOTORS
2023-06-15,36889.24,TATAMOTORS
2023-07-25,48133.02,TATAMOTORS
2023-09-30,48133.02,TATAMOTORS
2023-11-02,56968.2,TATAMOTORS
2024-02-02,62127.58,TATAMOTORS
2024-03-31,62127.58,TATAMOTORS
2024-05-10,66187.0,TATAMOTORS
2024-06-01,66188.06,TATAMOTORS
2024-08-01,68887.0,TATAMOTORS
2024-09-30,68887.0,TATAMOTORS
2024-11-08,67248.0,TATAMOTORS
2025-01-29,64971.0,TATAMOTORS
2006-07-15,1164.26,TATAPOWER
2007-03-31,1298.5,TATAPOWER
2007-07-24,1326.46,TATAPOWER
2008-03-31,1023.15,TATAPOWER
2008-06-30,1023.15,TATAPOWER
2008-08-14,2307.65,TATAPOWER
2008-09-30,2307.65,TATAPOWER
