Date,BookValue,Ticker
2018-11-09,142.21,HAL
2019-03-31,142.21,HAL
2019-08-13,142.21,HAL
2019-08-17,180.65,HAL
2019-09-30,179.1,HAL
2019-11-11,179.1,HAL
2020-02-13,179.1,HAL
2020-03-31,180.65,HAL
2020-06-25,180.65,HAL
2020-09-09,198.09,HAL
2020-09-10,198.09,HAL
2020-09-30,209.13,HAL
2020-11-13,209.13,HAL
2021-02-12,209.13,HAL
2021-03-31,198.09,HAL
2021-06-28,198.09,HAL
2021-08-13,198.09,HAL
2021-09-07,230.62,HAL
2021-09-30,246.43,HAL
2021-11-11,246.43,HAL
2022-02-10,246.43,HAL
2022-03-31,230.62,HAL
2022-05-13,230.62,HAL
2022-07-30,288.77,HAL
2022-08-12,288.77,HAL
2022-09-30,312.9,HAL
2022-11-11,312.9,HAL
2023-02-09,312.9,HAL
2023-03-31,288.77,HAL
2023-05-12,288.77,HAL
2023-08-04,352.45,HAL
2023-08-11,352.45,HAL
2023-09-30,376.12,HAL
2023-11-10,376.14,HAL
2024-02-12,376.14,HAL
2024-03-31,352.45,HAL
2024-05-16,352.45,HAL
2024-08-03,435.69,HAL
2024-08-14,435.69,HAL
2024-09-30,466.51,HAL
2024-11-14,466.51,HAL
2025-02-12,466.51,HAL
2020-11-04,31.58,HAPPSTMNDS
2021-02-10,31.58,HAPPSTMNDS
2021-03-31,31.58,HAPPSTMNDS
2021-05-12,37.18,HAPPSTMNDS
2021-06-12,37.18,HAPPSTMNDS
2021-07-28,37.18,HAPPSTMNDS
2021-09-30,39.83,HAPPSTMNDS
2021-10-27,39.83,HAPPSTMNDS
2022-01-28,39.83,HAPPSTMNDS
2022-03-31,37.19,HAPPSTMNDS
2022-05-05,37.19,HAPPSTMNDS
2022-07-21,37.19,HAPPSTMNDS
2022-09-30,50.79,HAPPSTMNDS
2022-10-20,50.79,HAPPSTMNDS
2023-01-19,50.79,HAPPSTMNDS
2023-03-31,37.2,HAPPSTMNDS
2023-05-08,37.2,HAPPSTMNDS
2023-06-27,57.12,HAPPSTMNDS
2023-08-08,57.12,HAPPSTMNDS
2023-09-30,94.92,HAPPSTMNDS
2023-10-17,91.55,HAPPSTMNDS
2024-01-17,91.55,HAPPSTMNDS
2024-03-31,57.2,HAPPSTMNDS
2024-05-06,57.2,HAPPSTMNDS
2024-06-06,97.21,HAPPSTMNDS
2024-08-12,97.21,HAPPSTMNDS
2024-09-30,100.11,HAPPSTMNDS
2024-11-13,100.11,HAPPSTMNDS
2025-02-04,100.11,HAPPSTMNDS
2007-06-26,4.88,HAVELLS
2007-06-30,4.88,HAVELLS
2007-09-30,4.88,HAVELLS
2007-12-31,4.88,HAVELLS
2008-03-31,4.92,HAVELLS
2008-06-30,4.92,HAVELLS
2008-07-04,11.92,HAVELLS
2008-09-30,11.92,HAVELLS
2008-12-31,11.92,HAVELLS
2009-03-31,11.94,HAVELLS
2009-08-07,10.22,HAVELLS
2010-03-31,10.22,HAVELLS
2010-09-22,6.63,HAVELLS
2011-03-31,7.17,HAVELLS
2011-07-04,10.48,HAVELLS
2012-03-31,10.48,HAVELLS
2012-06-18,15.32,HAVELLS
2013-03-31,15.32,HAVELLS
2013-06-18,23.11,HAVELLS
2014-03-31,23.11,HAVELLS
2014-06-13,26.69,HAVELLS
2015-03-31,29.11,HAVELLS
2016-03-31,29.12,HAVELLS
2016-06-10,48.47,HAVELLS
2017-03-31,48.48,HAVELLS
2017-06-08,52.44,HAVELLS
2018-03-31,52.44,HAVELLS
2018-06-20,59.65,HAVELLS
2018-12-31,59.65,HAVELLS
2019-03-31,59.65,HAVELLS
2019-05-29,59.65,HAVELLS
2019-06-28,67.11,HAVELLS
2019-07-27,67.11,HAVELLS
2019-09-30,68.01,HAVELLS
2019-10-23,68.01,HAVELLS
2020-01-21,68.01,HAVELLS
2020-03-31,67.11,HAVELLS
2020-05-12,67.11,HAVELLS
2020-06-01,68.9,HAVELLS
2020-07-27,68.9,HAVELLS
2020-09-30,75.24,HAVELLS
2020-10-29,75.24,HAVELLS
2021-01-20,75.24,HAVELLS
2021-03-31,68.9,HAVELLS
2021-05-20,68.9,HAVELLS
2021-06-02,82.69,HAVELLS
2021-07-21,82.69,HAVELLS
2021-09-30,88.22,HAVELLS
2021-10-20,88.22,HAVELLS
2022-01-20,88.22,HAVELLS
2022-03-31,82.69,HAVELLS
2022-05-04,82.69,HAVELLS
2022-06-09,95.85,HAVELLS
2022-07-20,95.85,HAVELLS
2022-09-30,98.53,HAVELLS
2022-10-19,98.53,HAVELLS
2023-01-19,98.53,HAVELLS
2023-03-31,95.85,HAVELLS
2023-05-03,95.85,HAVELLS
2023-05-31,105.75,HAVELLS
2023-07-20,105.75,HAVELLS
2023-09-30,110.09,HAVELLS
2023-10-19,110.09,HAVELLS
2024-01-23,110.09,HAVELLS
2024-03-31,105.75,HAVELLS
2024-04-30,105.75,HAVELLS
2024-06-01,118.83,HAVELLS
2024-07-18,118.83,HAVELLS
2024-09-30,124.32,HAVELLS
2024-10-17,124.32,HAVELLS
2025-01-16,124.31,HAVELLS
2010-09-22,20.11,HBLENGINE
2011-03-31,20.11,HBLENGINE
2011-09-14,22.43,HBLENGINE
2012-03-31,22.43,HBLENGINE
2012-12-14,20.81,HBLENGINE
2013-03-31,20.81,HBLENGINE
2014-03-31,20.81,HBLENGINE
2014-12-30,22.2,HBLENGINE
2015-03-31,22.2,HBLENGINE
2015-10-01,22.32,HBLENGINE
2016-03-31,22.32,HBLENGINE
2016-09-02,24.08,HBLENGINE
2017-03-31,24.17,HBLENGINE
2017-09-02,28.82,HBLENGINE
2018-03-31,28.82,HBLENGINE
2018-09-04,27.12,HBLENGINE
2019-03-31,27.12,HBLENGINE
2019-05-30,27.12,HBLENGINE
2019-08-13,27.12,HBLENGINE
2019-09-03,27.64,HBLENGINE
2019-09-30,27.72,HBLENGINE
2019-11-14,27.72,HBLENGINE
2020-02-10,27.72,HBLENGINE
2020-03-31,27.64,HBLENGINE
2020-06-22,27.64,HBLENGINE
2020-08-14,27.64,HBLENGINE
2020-09-14,27.88,HBLENGINE
2020-09-30,27.56,HBLENGINE
2020-11-12,27.56,HBLENGINE
2021-02-12,27.56,HBLENGINE
2021-03-31,27.88,HBLENGINE
2021-06-21,27.88,HBLENGINE
2021-08-13,27.88,HBLENGINE
2021-09-04,28.21,HBLENGINE
2021-09-30,29.13,HBLENGINE
2021-11-12,29.13,HBLENGINE
2022-02-12,29.13,HBLENGINE
2022-03-31,28.21,HBLENGINE
2022-05-26,28.21,HBLENGINE
2022-08-06,28.21,HBLENGINE
2022-09-05,31.23,HBLENGINE
2022-09-30,32.24,HBLENGINE
2022-11-11,32.24,HBLENGINE
2023-02-13,32.24,HBLENGINE
2023-03-31,31.23,HBLENGINE
2023-05-25,31.23,HBLENGINE
2023-08-11,31.23,HBLENGINE
2023-09-05,34.32,HBLENGINE
2023-09-30,38.22,HBLENGINE
2023-11-04,38.22,HBLENGINE
