Date,NPM,Ticker
2019-06-30,9.92,BEL
2019-09-30,12.53,BEL
2019-12-31,9.78,BEL
2020-03-31,18.0,BEL
2020-06-30,3.21,BEL
2020-09-30,12.5,BEL
2020-12-31,12.0,BEL
2021-03-31,19.78,BEL
2021-06-30,1.48,BEL
2021-09-30,16.98,BEL
2021-12-31,16.1,BEL
2022-03-31,18.22,BEL
2022-06-30,11.66,BEL
2022-09-30,15.76,BEL
2022-12-31,14.77,BEL
2023-03-31,21.33,BEL
2023-06-30,15.25,BEL
2023-09-30,19.7,BEL
2023-12-31,20.67,BEL
2024-03-31,20.98,BEL
2024-06-30,18.65,BEL
2024-09-30,23.73,BEL
2024-12-31,22.73,BEL
2005-03-31,17.61,BEML
2005-06-30,3.29,BEML
2005-09-30,8.21,BEML
2005-12-31,10.72,BEML
2006-03-31,10.7,BEML
2006-06-30,4.48,BEML
2006-09-30,6.02,BEML
2006-12-31,9.73,BEML
2007-03-31,9.96,BEML
2007-06-30,6.0,BEML
2007-09-30,5.12,BEML
2007-12-31,9.52,BEML
2008-03-31,11.3,BEML
2008-06-30,-6.05,BEML
2008-09-30,9.04,BEML
2008-12-31,9.28,BEML
2009-03-31,13.63,BEML
2009-06-30,1.14,BEML
2009-09-30,2.81,BEML
2009-12-31,6.71,BEML
2010-03-31,13.17,BEML
2010-06-30,1.84,BEML
2010-09-30,2.89,BEML
2010-12-31,7.23,BEML
2011-03-31,7.8,BEML
2011-06-30,1.54,BEML
2011-09-30,1.59,BEML
2011-12-31,6.9,BEML
2012-03-31,-3.7,BEML
2012-06-30,-9.32,BEML
2012-09-30,-10.66,BEML
2012-12-31,-9.36,BEML
2013-03-31,6.72,BEML
2013-06-30,-4.38,BEML
2013-09-30,-5.24,BEML
2013-12-31,0.69,BEML
2014-03-31,6.4,BEML
2014-06-30,-19.04,BEML
2014-09-30,-12.22,BEML
2014-12-31,-1.98,BEML
2015-03-31,13.19,BEML
2015-06-30,-11.54,BEML
2015-09-30,-3.64,BEML
2015-12-31,1.05,BEML
2016-03-31,13.12,BEML
2016-06-30,-30.98,BEML
2016-09-30,-3.66,BEML
2016-12-31,3.02,BEML
2017-03-31,14.16,BEML
2017-06-30,-13.48,BEML
2017-09-30,1.48,BEML
2017-12-31,2.28,BEML
2018-03-31,14.98,BEML
2018-06-30,-35.86,BEML
2018-09-30,2.27,BEML
2018-12-31,5.02,BEML
2019-03-31,11.93,BEML
2019-06-30,-16.93,BEML
2019-09-30,-3.96,BEML
2019-12-31,0.61,BEML
2020-03-31,17.35,BEML
2020-06-30,-34.32,BEML
2020-09-30,2.59,BEML
2020-12-31,3.8,BEML
2021-03-31,8.74,BEML
2021-06-30,-20.84,BEML
2021-09-30,1.07,BEML
2021-12-31,6.68,BEML
2022-03-31,7.92,BEML
