Ticker,GrangerFeatures
GUJGASLTD,"CBOE_scaled, Dollar-INR_scaled"
GVT&D,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled"
HAL,"100DayMA_scaled, 50DayMA_scaled, OPM_scaled, Volume_scaled"
HAPPSTMNDS,"Volume_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, OPM_scaled, GDP_scaled, PriceToBookValue_scaled, Sales_scaled"
HAVELLS,"BookValue_scaled, Volume_scaled, Dollar-INR_scaled, inflation-Monthly_scaled"
HBLENGINE,"Market-Cap-Sales_scaled, EBITDA_scaled, 100DayMA_scaled, Sales_scaled, Volume_scaled, PriceToBookValue_scaled, inflation-Monthly_scaled, BookValue_scaled"
HCLTECH,inflation-Monthly_scaled
HDFCAMC,"EBITDA_scaled, Sales_scaled, IndianBondYieldRate_scaled, CBOE_scaled"
HDFCBANK,"Dollar-INR_scaled, Market-Cap-Sales_scaled, IndianBondYieldRate_scaled, CrudeOil_scaled, Sales_scaled, EBITDA_scaled"
HDFCLIFE,"50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, IndianBondYieldRate_scaled"
HEG,"PriceToBookValue_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
HFCL,"PriceToBookValue_scaled, CrudeOil_scaled, Volume_scaled, BookValue_scaled, NPM_scaled"
HINDALCO,"CrudeOil_scaled, 50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, BookValue_scaled"
HINDCOPPER,"Volume_scaled, CrudeOil_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
HINDPETRO,"CrudeOil_scaled, Volume_scaled, 100DayMA_scaled, CBOE_scaled"
HINDUNILVR,"CrudeOil_scaled, Volume_scaled, Sales_scaled, inflation-Monthly_scaled, OPM_scaled"
HINDZINC,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, Volume_scaled, 50DayMA_scaled, GDP_scaled, Sales_scaled, EBITDA_scaled, 100DayMA_scaled"
HOMEFIRST,"Market-Cap-Sales_scaled, GDP_scaled, inflation-Monthly_scaled"
HONASA,"GPM_scaled, CrudeOil_scaled, IndianBondYieldRate_scaled"
HONAUT,50DayMA_scaled
HSCL,"BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, inflation-Monthly_scaled, UnemploymentRate_scaled"
HUDCO,"PriceToBookValue_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, Volume_scaled"
ICICIBANK,"100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, CrudeOil_scaled, EBITDA_scaled, Dollar-INR_scaled, Market-Cap-Sales_scaled"
ICICIGI,"Market-Cap-Sales_scaled, inflation-Monthly_scaled, CrudeOil_scaled"
ICICIPRULI,"EBITDA_scaled, 50DayMA_scaled, Volume_scaled, Sales_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
IDBI,"Market-Cap-Sales_scaled, Volume_scaled"
IDEA,"BookValue_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
IDFCFIRSTB,"NPM_scaled, PriceToBookValue_scaled, CBOE_scaled, Market-Cap-Sales_scaled, GDP_scaled, 50DayMA_scaled, Volume_scaled, UnemploymentRate_scaled"
IEX,CrudeOil_scaled
IFCI,"Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
IGL,"EBITDA_scaled, PriceToBookValue_scaled, Sales_scaled, Volume_scaled, Market-Cap-Sales_scaled"
IIFL,"Market-Cap-Sales_scaled, PriceToBookValue_scaled"
INDGN,"inflation-Monthly_scaled, EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
INDHOTEL,"PriceToBookValue_scaled, 100DayMA_scaled, GPM_scaled"
INDIACEM,"Volume_scaled, inflation-yearly_scaled, Market-Cap-Sales_scaled, UnemploymentRate_scaled, EBITDA_scaled, 50DayMA_scaled, PriceToBookValue_scaled"
INDIAMART,"100DayMA_scaled, NPM_scaled"
INDIANB,"100DayMA_scaled, Market-Cap-Sales_scaled"
INDIGO,"CrudeOil_scaled, EBITDA_scaled"
INDUSINDBK,"Sales_scaled, EBITDA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
INDUSTOWER,"Volume_scaled, Market-Cap-Sales_scaled"
INFY,"Sales_scaled, EBITDA_scaled, CrudeOil_scaled"
INOXINDIA,Volume_scaled
INOXWIND,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
INTELLECT,"Volume_scaled, EBITDA_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
IOB,"Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled"
IOC,Market-Cap-Sales_scaled
IPCALAB,"CBOE_scaled, inflation-yearly_scaled, UnemploymentRate_scaled, GDP_scaled, OPM_scaled, EBITDA_scaled, GPM_scaled, BookValue_scaled"
IRB,CBOE_scaled
IRCON,"Dollar-INR_scaled, NPM_scaled, OPM_scaled, inflation-Monthly_scaled, Market-Cap-Sales_scaled"
IRCTC,"100DayMA_scaled, 50DayMA_scaled, GPM_scaled"
IREDA,"OPM_scaled, 100DayMA_scaled, Volume_scaled, 50DayMA_scaled"
IRFC,"Volume_scaled, 50DayMA_scaled"
ISEC,"Market-Cap-Sales_scaled, CBOE_scaled, Dollar-INR_scaled, Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, EBITDA_scaled"
ITC,"Volume_scaled, NPM_scaled"
ITI,"Volume_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, EBITDA_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
J&KBANK,"100DayMA_scaled, Sales_scaled, EBITDA_scaled, 50DayMA_scaled, Volume_scaled"
JBCHEPHARM,"100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, Volume_scaled, PriceToBookValue_scaled"
JBMA,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, CBOE_scaled, EBITDA_scaled, Volume_scaled"
JINDALSAW,"BookValue_scaled, PriceToBookValue_scaled, 100DayMA_scaled, CrudeOil_scaled, 50DayMA_scaled"
JINDALSTEL,"CrudeOil_scaled, EBITDA_scaled, Sales_scaled"
